idx,Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Turbine Power (kW),Recirculation Pump Power (kW),Coolant Pump Power (kW),Stack Power (kW),turbine (t/f),eol (t/f),converged (t/f)
69,50.0,500,90,142.4395,62.8734,1.6,3.0232,60.0446,64.7193,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.744,0.7859,49.99,7.93,2.07,0.05,0.08,55.98,True,True,True
6,20.0,400,60,64.6401,79.3871,4.9999,1.1508,60.0096,62.4815,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.2701,0.7762,19.99,2.07,2.07,0.04,0.04,20.07,True,False,True
70,50.0,500,120,137.5619,63.1951,1.6001,3.0686,60.0667,64.3722,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7186,0.8183,49.99,8.34,2.16,0.05,0.07,56.28,True,False,True
71,50.0,500,120,143.8144,64.4309,1.6,2.9962,60.0081,64.5796,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7512,0.7845,49.99,8.56,2.27,0.05,0.08,56.41,True,True,True
72,50.0,500,150,138.81,62.6897,1.6,3.0579,60.0345,64.3928,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7251,0.8175,49.99,8.99,2.36,0.05,0.07,56.74,True,False,True
73,50.0,500,150,145.0679,86.6473,1.6013,1.1003,60.0023,64.5718,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,0.7578,0.7033,49.99,3.26,2.49,0.13,0.12,51.01,True,True,True
74,80.0,400,0,285.0334,63.4072,1.6001,3.2993,60.0529,65.7906,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.1911,0.7777,79.99,10.93,2.49,0.08,0.15,88.66,True,False,True
75,80.0,400,0,317.9532,64.3878,1.6001,3.2999,60.0186,67.0134,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.3287,0.7051,79.99,12.26,2.84,0.1,0.17,89.67,True,True,True
76,80.0,400,30,287.7527,63.1506,1.6002,3.2996,60.0073,65.8471,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.2025,0.7767,79.99,11.99,2.81,0.08,0.15,89.4,True,False,True
77,80.0,400,30,321.9217,64.3383,1.6,3.2998,60.0142,67.2376,50.0,30.0,1.6,1.1,60.0,60.0,2000.0,100.0,5.0,3.3,90.0,90.0,1.3453,0.7029,79.99,13.48,3.22,0.1,0.17,90.52,True,True,True
