idx,Power Constraint (kW),Specified Cell Count,Flight Level (100x ft),current_A (Value),cathode_rh_in_perc (Value),stoich_cathode (Value),pressure_cathode_in_bara (Value),temp_coolant_inlet_degC (Value),temp_coolant_outlet_degC (Value),current_A (Lower Bound),cathode_rh_in_perc (Lower Bound),stoich_cathode (Lower Bound),pressure_cathode_in_bara (Lower Bound),temp_coolant_inlet_degC (Lower Bound),temp_coolant_outlet_degC (Lower Bound),current_A (Upper Bound),cathode_rh_in_perc (Upper Bound),stoich_cathode (Upper Bound),pressure_cathode_in_bara (Upper Bound),temp_coolant_inlet_degC (Upper Bound),temp_coolant_outlet_degC (Upper Bound),Hydrogen Consumption (g/s),Cell Voltage (V),System Power (kW),Compressor Power (kW),Turbine Power (kW),Recirculation Pump Power (kW),Coolant Pump Power (kW),Stack Power (kW),turbine (t/f),eol (t/f)
76,50.0,500,40,166.265,63.7181,1.6,3.0902,60.0007,67.4142,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8685,0.6857,49.91,8.91,2.16,0.1,0.25,57.01,True,True
77,50.0,500,60,137.0878,61.272,1.6,3.2994,60.0,65.8013,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7161,0.8238,49.92,8.12,1.85,0.08,0.19,56.47,True,False
78,50.0,500,60,167.4174,63.9213,1.6,3.0739,60.0056,67.3262,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8745,0.6851,49.9,9.4,2.31,0.1,0.26,57.34,True,True
79,50.0,500,80,137.883,60.926,1.6,3.3,60.0017,65.7834,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7202,0.8236,49.92,8.56,1.98,0.08,0.19,56.78,True,False
7,20.0,400,60,66.3963,61.1952,1.6,3.1551,60.0044,65.2091,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.2775,0.8422,19.93,3.04,0.71,0.03,0.07,22.37,True,False
80,50.0,500,80,168.6315,64.4129,1.6,3.0363,60.0013,67.4116,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8809,0.6836,49.91,9.85,2.48,0.11,0.26,57.64,True,True
81,50.0,500,100,138.7087,61.147,1.6,3.2997,60.0016,65.8669,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7246,0.8233,49.92,9.01,2.11,0.08,0.19,57.1,True,False
82,50.0,500,100,169.8627,64.5295,1.6,3.0139,60.0023,67.4083,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8873,0.6826,49.9,10.35,2.64,0.11,0.26,57.98,True,True
83,50.0,500,120,139.5483,61.3087,1.6,3.2998,60.0007,65.825,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.7289,0.8231,49.92,9.47,2.24,0.08,0.2,57.43,True,False
84,50.0,500,120,171.1273,64.4947,1.6,2.986,60.0019,67.4092,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.8939,0.6815,49.9,10.84,2.81,0.11,0.26,58.31,True,True
85,80.0,400,0,288.7702,63.8789,1.6,3.3,60.0005,66.5829,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2067,0.7757,79.91,11.76,2.56,0.13,0.35,89.6,True,False
86,80.0,400,0,359.7262,65.0957,1.6,3.2999,60.0009,68.7695,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5033,0.6381,79.89,14.65,3.33,0.17,0.45,91.82,True,True
87,80.0,400,20,290.6133,63.6126,1.6,3.3,60.0029,66.5725,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2144,0.7751,79.91,12.48,2.78,0.13,0.35,90.1,True,False
88,80.0,400,20,362.7613,65.8799,1.6,3.3,60.0006,68.8476,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5159,0.6373,79.88,15.57,3.61,0.17,0.45,92.47,True,True
89,80.0,400,40,292.5173,63.5501,1.6,3.2999,60.0004,66.5662,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2224,0.7745,79.91,13.21,2.99,0.14,0.36,90.62,True,False
8,20.0,400,60,80.1306,83.4489,1.6002,1.1002,60.0018,65.5167,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.3349,0.6392,19.91,1.21,0.87,0.1,0.13,20.49,True,True
90,80.0,400,40,365.9082,65.624,1.6,3.3,60.001,68.8209,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5291,0.6364,79.88,16.52,3.89,0.17,0.46,93.15,True,True
91,80.0,400,60,294.4792,63.5684,1.6,3.3,60.0001,66.6186,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2306,0.7738,79.91,13.96,3.22,0.14,0.36,91.15,True,False
92,80.0,400,60,369.1674,65.8125,1.6,3.3,60.0007,68.8643,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5427,0.6355,79.88,17.5,4.18,0.17,0.46,93.84,True,True
93,80.0,400,80,296.4957,63.9149,1.6,3.3,60.0004,66.6263,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.239,0.7732,79.91,14.73,3.44,0.14,0.36,91.7,True,False
94,80.0,400,80,372.5145,65.7835,1.6,3.3,60.002,68.796,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5567,0.6346,79.88,18.51,4.47,0.17,0.47,94.57,True,True
95,80.0,400,100,298.567,63.7146,1.6,3.3,60.0019,66.635,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2477,0.7725,79.91,15.52,3.67,0.14,0.37,92.26,True,False
96,80.0,400,100,376.021,65.938,1.6,3.3,60.0,68.9299,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5713,0.6336,79.88,19.54,4.77,0.18,0.47,95.29,True,True
97,80.0,400,120,300.7043,63.6731,1.6,3.3,60.0003,66.6202,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.2566,0.7718,79.91,16.32,3.9,0.14,0.37,92.84,True,False
98,80.0,400,120,379.6231,65.7364,1.6,3.2999,60.0006,68.9382,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.5864,0.6326,79.87,20.61,5.08,0.18,0.48,96.06,True,True
99,80.0,450,0,252.4703,62.8143,1.6,3.3,60.0041,66.4761,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,1.1869,0.7872,79.92,11.57,2.51,0.13,0.34,89.44,True,False
9,20.0,400,80,66.7556,61.5899,1.6,3.1368,60.0016,65.2229,50.0,30.0,1.6,1.1,60.0,60.0,700.0,100.0,5.0,3.3,90.0,90.0,0.279,0.8416,19.93,3.2,0.76,0.03,0.07,22.47,True,False
