Case,Case Label,Current,Anode Stoichiometry set,Mass  Fraction H2 anode set,Relative Humidity anode inlet set,Temperature anode inlet set,Cathode Stoichiometry set,Relative Humidity cathode inlet set,Temperature cathode inlet set,Pressure (Absolute) cathode outlet set,Volumetric Flow Rate coolant set,Temperature coolant inlet set,Pressure (Absolute) coolant outlet set,factor pressure difference anode2 cathode,Average Pressure (Outlet); Part Cathode_inlet,Average Temperature (Outlet); Part Cathode_inlet,Relative Humidity (Outlet); Part Cathode_inlet,Average Mass Flow Rate (Outlet); Part Cathode_inlet,Total Gaseous Mass Fraction Average (Outlet); Part Cathode_inlet,Average Pressure (Outlet); Part Cathode_outlet,Average Temperature (Outlet); Part Cathode_outlet,Relative Humidity (Outlet); Part Cathode_outlet,Average Mass Flow Rate (Outlet); Part Cathode_outlet,Average Pressure (Outlet); Part An_inlet-1,Average Temperature (Outlet); Part An_inlet-1,Relative Humidity (Outlet); Part An_inlet-1,Average Mass Flow Rate (Outlet); Part An_inlet-1,Average Pressure (Outlet); Part An_outlet,Average Temperature (Outlet); Part An_outlet,Relative Humidity (Outlet); Part An_outlet,Average Mass Flow Rate (Outlet); Part An_outlet,Average Pressure (Outlet); Part Coolant_inlet,Average Temperature (Outlet); Part Coolant_inlet,Average Mass Flow Rate (Outlet); Part Coolant_inlet,Average Pressure (Outlet); Part Coolant_outlet,Average Temperature (Outlet); Part Coolant_outlet,Average Mass Flow Rate (Outlet); Part Coolant_outlet,m_dot_an; Part Anode_lambda,m_dot_cath; Part Cathode_lambda,H2 Anode out; Part RLTCreator-1,N2 Anode out; Part RLTCreator-1,H2Ovap Anode out; Part RLTCreator-1,H2Oliq Anode out; Part RLTCreator-1,O2 Cathode out; Part RLTCreator-1,N2 Cathode out; Part RLTCreator-1,H2Ovap Cathode out; Part RLTCreator-1,H2Oliq Cathode out; Part RLTCreator-1,H2 Anode in; Part RLTCreator-1,N2 Anode in; Part RLTCreator-1,H2Ovap Anode in; Part RLTCreator-1,H2Oliq Anode in; Part RLTCreator-1,O2 Cathode in; Part RLTCreator-1,N2 Cathode in; Part RLTCreator-1,H2Ovap Cathode in; Part RLTCreator-1,H2Oliq Cathode in; Part RLTCreator-1,Output 1; Part Gain-2-1,Output 1; Part Gain-3-1,Output 1; Part Gain-4-1,Output 1; Part Gain-5-1,Output 1; Part Gain-6-1,Output 1; Part Gain-7-1,Output 1; Part Gain-8-1,Output 1; Part Gain-9-1,Output 1; Part Gain-10-1,Output 1; Part Gain-11-1,Voltage; Part SubAssemblyExternal-1,Current; Part SubAssemblyExternal-1,Electrical Power; Part SubAssemblyExternal-1,Fuel Power; Part SubAssemblyExternal-1,Fuel Efficiency; Part SubAssemblyExternal-1,Voltage Loss - Activation; Part SubAssemblyExternal-1,Voltage Loss - Transport; Part SubAssemblyExternal-1,Voltage Loss - Ohmic; Part SubAssemblyExternal-1,Membrane Humidity; Part SubAssemblyExternal-1,Membrane Water Content Average; Part SubAssemblyExternal-1,Water_Content_Vol_1; Part SubAssemblyExternal-1,Water_Content_Vol_2; Part SubAssemblyExternal-1,Water_Content_Vol_3; Part SubAssemblyExternal-1,Water_Content_Vol_4; Part SubAssemblyExternal-1,Water_Content_Vol_5; Part SubAssemblyExternal-1,Mass Rate of Water Crossover (Anode); Part SubAssemblyExternal-1,Mass Rate of Nitrogen Crossover; Part SubAssemblyExternal-1,Mass Rate of Hydrogen Crossover; Part SubAssemblyExternal-1,Mass Rate of Oxygen Crossover; Part SubAssemblyExternal-1,Cathode Stoichiometric Ratio; Part SubAssemblyExternal-1,Anode Stoichiometric Ratio; Part SubAssemblyExternal-1,T_degC_Vol_1; Part SubAssemblyExternal-1,T_degC_Vol_2; Part SubAssemblyExternal-1,T_degC_Vol_3; Part SubAssemblyExternal-1,T_degC_Vol_4; Part SubAssemblyExternal-1,T_degC_Vol_5; Part SubAssemblyExternal-1
387,--,400.0,3.04288,0.639355,0.408027,64.8681,3.91666,0.927243,65.0414,1.86495,0.479565,70.7211,1.22127,1.18343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
388,--,400.0,2.41333,0.739796,0.787003,70.6396,3.99703,0.481125,64.8913,1.58984,0.436248,59.5059,2.68739,0.835442,2.4112656,338.0216,48.15477,270.4214,1.0,1.5960302,346.83118,47.548992,265.59778,1.5101069,343.78964,78.700226,11.66209,1.3284109,336.4929,99.99998,16.46385,3.4498003,332.6559,4337.0347,2.6873863,343.3626,4333.951,11.662092,270.42062,0.5229124,0.028032774,0.11668825,0.3323666,0.1488382,0.7423829,0.10877888,0.0,0.81233084,0.02051296,0.16715617,0.0,0.19999892,0.7502741,0.049726956,0.0,76.5425,94.75381,100.0,100.0,100.0,48.815536,43.34151,41.739426,53.94781,56.94804,277.47433,400.0,110.98973,228.66095,0.48469704,55.93689,3.8275514,73.40081,59.20496,5.67586,6.737769,12.291291,3.4872944,2.9728425,2.974033,6.68661,0.020300476,0.0037939087,0.010105538,4.0327263,1.9172151,63.825092,65.38528,67.808,72.58114,75.08627
389,--,400.0,1.54137,0.887456,0.945224,51.4628,3.72575,0.646585,65.4444,2.53245,0.469296,69.8392,1.25668,1.02457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
390,--,400.0,2.42491,0.784502,0.78163,68.7689,2.4228,0.607626,68.1538,1.87765,0.477028,51.1363,2.87791,0.954389,2.2282562,341.2996,60.773525,165.88235,1.0,1.878133,342.0077,75.22409,154.43411,2.0084934,341.91904,78.16261,10.820132,1.7923254,329.52188,99.99995,22.219912,3.780516,324.28632,4645.464,2.8779042,336.51038,4640.55,10.820142,165.88156,0.53537226,0.018904887,0.057414822,0.38830805,0.119353324,0.7618733,0.118773386,0.0,0.867791,0.017114246,0.11509476,0.0,0.19393912,0.72754145,0.07851941,0.0,98.609314,100.0,100.0,100.0,100.00009,79.99471,69.49301,60.582874,57.817966,79.8437,265.94412,400.0,106.37765,228.7403,0.4655195,65.42051,4.8514934,79.34902,62.66318,5.8066735,14.182579,4.2936606,3.6055934,3.479235,3.469503,13.308405,0.016868744,0.0048141163,0.0072586923,2.4247835,2.2969007,57.857845,58.300007,60.68957,63.838585,69.12227
391,--,400.0,3.48652,0.88816,0.425722,76.4131,3.43734,0.808828,69.1219,1.69683,0.443439,50.9811,1.42693,1.01876,2.3373451,342.25626,80.93759,242.94646,1.0,1.6995969,341.46255,60.58275,226.68117,2.0370488,349.56326,42.571968,12.621322,1.7297145,329.93307,99.99998,28.854061,2.2507427,324.1311,4409.076,1.4269253,336.9291,4404.891,12.621334,242.94543,0.62541765,0.008237789,0.06976367,0.2965809,0.1432711,0.75350094,0.10322797,0.0,0.90626556,0.008193225,0.0855412,0.0,0.18858849,0.7074691,0.10394239,0.0,80.55467,100.000015,100.0,100.0,100.0,100.00001,89.28593,73.1645,68.36153,68.70041,276.33832,400.0,110.53533,228.79291,0.48343083,62.536118,2.929858,74.15359,69.09547,5.8405924,9.419582,7.567381,4.2494926,3.9622986,3.9085982,18.133001,0.018778292,0.0050389925,0.008955683,3.4869235,3.3479874,59.647083,59.093277,61.84774,65.63555,69.18096
392,--,400.0,1.65994,0.903096,0.652834,65.5847,2.52964,0.704657,84.5081,2.26605,0.446143,64.5937,2.04317,0.979557,2.6203213,357.65442,70.47585,183.57352,1.0,2.2664475,354.86478,63.003468,165.35635,2.402857,338.7348,65.28316,5.847241,2.2198684,345.24692,100.000046,24.029812,2.7868676,337.7437,4392.7983,2.0431705,348.77115,4392.3506,5.8472447,183.57326,0.3516843,0.0069922586,0.06517757,0.5761459,0.11943883,0.739421,0.14114018,0.0,0.9230543,0.0071109636,0.069834776,0.0,0.17833869,0.66901815,0.15264316,0.0,70.0798,100.0,100.0,100.0,100.00007,91.99626,78.41514,66.36518,64.53828,66.101746,280.68475,400.0,112.2739,229.07703,0.49028876,48.157635,3.0048687,80.28515,60.218082,4.5049863,6.383344,5.461198,3.618734,3.4779868,3.5770464,20.081392,0.027131997,0.007152874,0.010978575,2.5369108,1.7166345,73.16536,73.611725,76.16482,79.225685,82.0001
393,--,400.0,3.55862,0.933724,0.809741,55.8378,3.51514,0.963051,68.7627,2.43024,0.463912,64.589,1.26816,0.976303,2.9386365,341.90656,96.33087,244.83968,1.0,2.4313817,350.43616,64.79027,231.42395,2.6354,328.98782,80.97403,11.163486,2.3726842,343.02914,99.99993,24.570078,2.0562654,337.739,4517.0757,1.2681592,346.41232,4516.373,11.163487,244.83946,0.7128536,0.005259472,0.108066,0.1738209,0.1422122,0.74472517,0.11306263,0.0,0.9447762,0.004814599,0.050409213,0.0,0.19006918,0.71302384,0.096907,0.0,57.240986,80.70888,100.0,100.0,100.0,82.712234,72.250084,72.65385,73.175255,69.672554,304.11642,400.0,121.64657,229.31133,0.53056145,47.56359,2.8797295,60.298355,73.44546,6.6019545,4.9989448,9.17539,10.313766,4.568901,3.929575,15.272411,0.032780807,0.008501932,0.01577581,3.5239608,3.7194417,69.0779,71.14305,74.3228,76.694916,77.7654
394,--,400.0,3.58067,0.77329,0.490687,58.6454,3.78014,0.455857,76.7508,1.1891,0.424627,50.0075,2.8764,1.07967,2.1324513,349.86374,45.655323,268.83597,1.0,1.200084,338.48224,48.79308,255.51378,1.5944065,331.7956,49.06833,11.527973,1.2841376,328.4085,100.0,24.818703,3.6652043,323.1575,4278.761,2.8763921,336.55695,4272.5645,11.527991,268.834,0.6602312,0.02019746,0.096433446,0.2231379,0.14840151,0.7483691,0.10322941,0.0,0.9229413,0.019426554,0.057632145,0.0,0.19178621,0.719465,0.088748746,0.0,54.8755,81.867874,100.0,100.0,100.0,77.52664,74.82783,69.06957,67.621346,62.550465,269.8805,400.0,107.952194,228.60979,0.4724004,65.65006,2.8227885,75.71276,68.749275,5.7679114,4.5923986,9.511624,7.0650063,4.030632,3.6635134,15.194373,0.015573128,0.00367097,0.0076948735,3.9037914,3.2548547,60.759842,59.389427,62.24007,65.7329,67.485054
395,--,400.0,2.53526,0.652636,0.819567,76.3311,2.9225,0.923623,62.9574,1.00139,0.439042,50.161,2.32419,1.17466,1.7849914,336.0786,92.48096,214.33272,1.0,1.0092844,342.31836,49.6352,202.60484,1.4425344,349.48563,81.944984,15.416514,1.1778066,329.41794,100.00001,27.02994,3.1407988,323.311,4380.0654,2.3241818,338.05063,4373.7676,15.416822,214.328,0.37213862,0.030889614,0.06661055,0.5303612,0.12944193,0.7231391,0.14741895,0.0,0.7407034,0.028304242,0.23099238,0.0,0.18558124,0.69618773,0.11823102,0.0,100.0,100.0,100.0,100.0,100.0,93.99079,76.19738,61.91681,54.009026,63.115868,255.25412,400.0,102.10165,228.52399,0.4475869,69.27893,4.5355163,81.742355,59.24737,5.4955516,13.790837,3.6665883,3.372313,3.336608,3.4641154,13.626355,0.011670832,0.0032345005,0.005481624,3.0473268,1.8838325,57.4865,58.72338,61.60753,65.05394,71.15366
396,--,400.0,2.96794,0.682298,0.779655,62.435,3.44238,0.504443,65.3256,1.30582,0.43486,59.2334,1.29557,0.809749,2.0885828,338.45508,50.49036,235.83913,1.0,1.3121098,345.18143,48.916416,230.74648,1.3074507,335.58514,77.96513,12.757697,1.0574416,336.18185,100.0,17.835974,2.0556464,332.3834,4328.0015,1.2955663,342.48026,4325.0747,12.757707,235.83836,0.6070734,0.035946473,0.17771707,0.17926304,0.13954325,0.7335464,0.12691036,0.0,0.8389511,0.028046323,0.13300255,0.0,0.19754802,0.74107987,0.061372142,0.0,60.125782,75.01789,92.58199,100.0,100.0,49.45854,50.16006,59.941513,61.85759,59.649635,277.2142,400.0,110.88568,228.55865,0.48466766,59.94604,3.4580004,68.64709,68.14626,6.0769277,4.6978164,6.7645025,11.579713,4.2138996,3.1862247,6.962888,0.017800055,0.003123205,0.0086590145,3.491075,2.2964168,63.914383,65.59088,69.589874,71.8651,73.59623
397,--,400.0,3.66228,0.963549,0.918877,77.2307,3.0004,0.386781,53.2868,2.89259,0.414997,84.1295,2.36948,1.1738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
398,--,400.0,1.60782,0.978307,0.444759,77.6899,3.78384,0.252402,79.6152,1.56816,0.437162,82.2725,2.64609,1.00596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
